sample_id,model_1,model_2,model_3,mean,std
sample_48983,7.8822,8.3496,7.9441,8.0586,0.2539
sample_48984,8.5752,9.2263,8.6652,8.8222,0.3528
sample_48985,9.2043,9.8367,9.333,9.458,0.3342
sample_48986,7.9457,8.4153,8.0273,8.1294,0.2509
sample_48987,8.2702,8.4898,8.0011,8.2537,0.2448
sample_48988,8.5272,9.0332,8.6944,8.7516,0.2578
sample_48989,8.9746,9.4478,9.1475,9.19,0.2395
sample_48990,9.3133,9.7241,9.2649,9.4341,0.2523
sample_48991,8.1083,8.4417,8.0035,8.1845,0.2288
sample_48992,9.2277,9.788,9.2766,9.4308,0.3103
sample_48993,8.6271,9.144,8.6006,8.7906,0.3064
sample_48994,9.4123,9.8249,9.4514,9.5629,0.2278
sample_48995,8.7051,8.971,8.4563,8.7108,0.2574
sample_48996,8.363,8.7123,8.35,8.4751,0.2055
sample_48997,8.7649,9.3959,8.914,9.0249,0.3298
sample_48998,9.2583,9.749,9.3436,9.4503,0.2621
sample_48999,8.6533,9.0078,8.3743,8.6785,0.3175
sample_49000,9.3053,9.8622,9.4244,9.5306,0.2933
sample_49001,9.1808,9.6895,9.2876,9.386,0.2682
sample_49002,8.0175,8.5453,8.0177,8.1935,0.3047
sample_49003,8.2321,8.5584,8.1255,8.3054,0.2256
sample_49004,9.0019,9.573,9.0576,9.2108,0.3149
sample_49005,8.2061,8.6078,8.31,8.3746,0.2085
sample_49006,8.9244,8.9384,8.6821,8.8483,0.1441
sample_49007,8.8634,9.3964,8.9692,9.0764,0.2822
sample_49008,8.9476,9.4593,8.9949,9.1339,0.2828
sample_49009,9.4445,9.8514,9.5507,9.6155,0.2111
sample_49010,8.7336,9.3324,8.9176,8.9945,0.3067
sample_49011,8.1991,8.6392,8.1538,8.3307,0.2681
sample_49012,8.8996,9.4018,9.0019,9.1011,0.2654
sample_49013,8.1664,8.6777,8.193,8.3457,0.2878
sample_49014,8.401,8.9425,8.4743,8.6059,0.2938
sample_49015,8.3128,8.9501,8.5474,8.6034,0.3223
sample_49016,8.2656,8.5477,8.2286,8.3473,0.1745
sample_49017,8.2512,8.4973,8.2406,8.3297,0.1453
sample_49018,8.5443,8.5578,8.247,8.4497,0.1757
sample_49019,8.6322,8.76,8.4238,8.6053,0.1697
sample_49020,8.2919,8.6108,8.145,8.3493,0.2381
sample_49021,9.7261,9.9844,9.5699,9.7601,0.2094
sample_49022,8.8282,9.1351,8.8194,8.9276,0.1798
sample_49023,7.5709,8.1343,7.6262,7.7771,0.3105
sample_49024,8.6199,9.1629,8.781,8.8546,0.2789
sample_49025,7.7331,8.3743,7.7526,7.9533,0.3647
sample_49026,8.0156,8.5906,7.9408,8.1823,0.3555
sample_49027,9.1343,9.326,8.865,9.1084,0.2316
sample_49028,8.4842,8.9271,8.3838,8.5984,0.2891
sample_49029,8.1149,8.6976,8.142,8.3182,0.3289
sample_49030,8.2098,8.5976,8.0302,8.2792,0.29
sample_49031,8.9826,9.4948,9.1083,9.1952,0.2669
sample_49032,8.1286,8.6012,8.0957,8.2752,0.2828
sample_49033,8.2651,8.7239,8.3876,8.4589,0.2376
sample_49034,8.4592,9.022,8.5976,8.6929,0.2933
sample_49035,8.8113,9.181,8.7924,8.9282,0.2191
sample_49036,8.1973,8.4689,8.0128,8.2263,0.2294
sample_49037,8.1991,8.6392,8.1538,8.3307,0.2681
sample_49038,8.424,8.8675,8.4293,8.5736,0.2545
sample_49039,8.7112,9.3372,9.0038,9.0174,0.3132
sample_49040,8.7277,9.0848,8.7972,8.8699,0.1893
sample_49041,7.767,8.2078,7.781,7.9186,0.2505
sample_49042,8.4618,9.0373,8.6474,8.7155,0.2937
sample_49043,7.9658,8.4447,7.9981,8.1362,0.2677
sample_49044,8.5847,9.071,8.6161,8.7573,0.2722
sample_49045,9.545,10.0335,9.5936,9.7241,0.2691
sample_49046,8.6333,8.9338,8.5096,8.6923,0.2182
sample_49047,8.8626,9.2908,8.8853,9.0129,0.2409
sample_49048,8.6839,8.872,8.627,8.7276,0.1283
sample_49049,8.0104,8.5733,8.0325,8.2054,0.3188
sample_49050,9.7532,10.1597,9.6646,9.8592,0.264
sample_49051,8.4196,9.0187,8.5099,8.6494,0.323
sample_49052,7.2059,7.876,7.3125,7.4648,0.3601
sample_49053,8.9933,9.5805,9.2355,9.2698,0.2951
sample_49054,9.0049,9.5785,9.185,9.2561,0.2934
sample_49055,8.8589,9.5929,9.0295,9.1604,0.3841
sample_49056,9.232,9.721,9.3117,9.4216,0.2624
sample_49057,8.7236,9.0344,8.6676,8.8086,0.1976
sample_49058,8.105,8.556,8.1535,8.2715,0.2476
sample_49059,9.1686,9.8453,9.3833,9.4657,0.3458
sample_49060,8.3399,8.7329,8.3917,8.4882,0.2135
sample_49061,8.1659,8.7396,8.2131,8.3729,0.3185
sample_49062,7.7444,8.1879,7.734,7.8888,0.2591
sample_49063,9.2471,9.6716,9.3318,9.4168,0.2247
sample_49064,8.8713,9.1074,8.7524,8.9103,0.1807
sample_49065,9.2295,9.6926,9.2518,9.3913,0.2612
sample_49066,7.4565,7.8507,7.4814,7.5962,0.2207
sample_49067,8.9962,9.4519,8.8561,9.1014,0.3115
sample_49068,8.032,8.4329,8.121,8.1953,0.2105
sample_49069,7.5639,8.1821,7.7005,7.8155,0.3248
sample_49070,8.2621,8.8481,8.3575,8.4892,0.3144
sample_49071,9.195,9.6539,9.3188,9.3892,0.2374
sample_49072,8.4853,8.8123,8.4367,8.5781,0.2043
sample_49073,8.4409,8.8991,8.3121,8.5507,0.3085
sample_49074,7.9141,8.3538,7.8663,8.0447,0.2687
sample_49075,8.4575,8.6212,8.3121,8.4636,0.1547
sample_49076,8.0165,8.594,8.1696,8.26,0.2991
sample_49077,7.6069,7.8129,7.6384,7.6861,0.1109
sample_49078,8.7913,9.3166,8.9173,9.0084,0.2742
sample_49079,8.0045,8.5348,8.0227,8.1873,0.3011
sample_49080,9.0276,9.6705,9.1771,9.2918,0.3364
sample_49081,9.3799,9.8165,9.3908,9.5291,0.249
sample_49082,8.902,9.4579,9.1994,9.1864,0.2782
sample_49083,8.1921,8.42,8.0166,8.2096,0.2023
sample_49084,8.462,8.6215,8.4362,8.5066,0.1003
sample_49085,9.1173,9.6598,9.2782,9.3518,0.2786
sample_49086,9.3619,9.789,9.3638,9.5049,0.246
sample_49087,8.6271,9.1608,8.7667,8.8515,0.2768
sample_49088,9.1534,9.6237,9.3406,9.3725,0.2368
sample_49089,7.4956,8.0947,7.567,7.7191,0.3272
sample_49090,8.9935,9.5859,9.2421,9.2738,0.2975
sample_49091,7.3054,7.7399,7.3999,7.4817,0.2285
sample_49092,7.3949,8.0582,7.6376,7.6969,0.3356
sample_49093,9.6164,9.9907,9.5787,9.7286,0.2278
sample_49094,8.7374,9.3319,8.8447,8.9713,0.3168
sample_49095,8.9203,9.5376,9.1951,9.2177,0.3092
sample_49096,9.3721,9.8975,9.4442,9.5713,0.2848
sample_49097,9.4754,9.9877,9.374,9.6124,0.329
sample_49098,9.2095,9.7119,9.3119,9.4111,0.2655
sample_49099,8.1898,8.5941,8.1311,8.305,0.2521
sample_49100,8.65,8.7985,8.4878,8.6455,0.1554
sample_49101,8.9381,9.6828,9.2191,9.28,0.3761
sample_49102,7.8947,8.3244,7.6966,7.9719,0.321
sample_49103,8.8957,9.4838,9.0622,9.1472,0.3031
sample_49104,9.5943,10.041,9.5279,9.721,0.279
sample_49105,9.2733,9.7364,9.4384,9.4827,0.2347
sample_49106,7.8898,8.3226,8.0119,8.0748,0.2231
sample_49107,9.3425,9.9027,9.5576,9.6009,0.2826
sample_49108,9.3185,9.9427,9.471,9.5774,0.3254
sample_49109,8.5845,9.1632,8.8076,8.8518,0.2919
sample_49110,8.6839,8.8672,8.4969,8.6826,0.1851
sample_49111,8.4531,8.9512,8.3832,8.5958,0.3097
sample_49112,8.9269,9.4974,9.0303,9.1515,0.3039
sample_49113,8.1462,8.3521,8.1177,8.2053,0.1279
sample_49114,9.1007,9.649,9.2988,9.3495,0.2776
sample_49115,7.6847,8.2714,7.7229,7.893,0.3283
sample_49116,9.3466,9.7543,9.3223,9.4744,0.2427
sample_49117,7.9868,8.6205,8.2111,8.2728,0.3213
sample_49118,9.0715,9.5334,9.2619,9.2889,0.2321
sample_49119,8.2626,8.3156,7.9276,8.1686,0.2104
sample_49120,8.6075,8.9659,8.4699,8.6811,0.2561
sample_49121,9.4176,9.7971,9.461,9.5586,0.2077
sample_49122,8.4419,8.794,8.2944,8.5101,0.2567
sample_49123,9.2257,9.7469,9.2412,9.4046,0.2965
sample_49124,7.9372,8.2657,7.9678,8.0569,0.1814
sample_49125,8.3011,8.7858,8.2524,8.4465,0.2949
sample_49126,7.8599,8.2884,7.7423,7.9635,0.2874
sample_49127,8.9614,9.4362,9.0633,9.1536,0.2499
sample_49128,9.1762,9.7407,9.2884,9.4017,0.2988
sample_49129,8.316,8.6087,8.1929,8.3725,0.2136
sample_49130,8.6689,8.891,8.5842,8.7147,0.1584
sample_49131,8.8064,9.2493,8.9974,9.0177,0.2221
sample_49132,8.6066,8.8243,8.4532,8.628,0.1865
sample_49133,8.7836,9.0448,8.7575,8.862,0.1588
sample_49134,7.9182,8.2045,7.7951,7.9726,0.21
sample_49135,8.1649,8.8532,8.105,8.3743,0.4158
sample_49136,8.3191,8.6234,8.2788,8.4071,0.1884
sample_49137,8.8824,9.4087,9.1138,9.135,0.2637
sample_49138,8.8757,9.4839,9.2095,9.1897,0.3046
sample_49139,9.6034,10.073,9.6114,9.7626,0.2688
sample_49140,8.0382,8.5563,8.0604,8.2183,0.2929
sample_49141,8.1312,8.565,8.1749,8.2903,0.2389
sample_49142,8.7027,9.3871,8.9697,9.0198,0.3449
sample_49143,7.3493,8.0427,7.4349,7.609,0.378
sample_49144,7.4617,8.1311,7.53,7.7076,0.3683
sample_49145,9.0008,9.5306,9.1638,9.2317,0.2714
sample_49146,8.8959,9.3562,9.0149,9.089,0.239
sample_49147,9.4005,9.9046,9.3038,9.5363,0.3226
sample_49148,8.5448,9.055,8.6266,8.7421,0.274
sample_49149,7.8699,8.6753,8.0033,8.1828,0.4317
sample_49150,7.6073,8.2361,7.7663,7.8699,0.3269
sample_49151,9.0206,9.5434,9.116,9.2267,0.2784
sample_49152,9.2212,9.6357,9.2056,9.3542,0.2439
sample_49153,9.4768,9.8776,9.3642,9.5729,0.2699
sample_49154,7.7523,8.0842,7.7027,7.8464,0.2074
sample_49155,7.3329,7.834,7.4315,7.5328,0.2655
sample_49156,7.8016,8.3417,7.8319,7.9917,0.3034
sample_49157,8.1011,8.4404,8.0792,8.2069,0.2025
sample_49158,8.4125,8.7716,8.3937,8.526,0.213
sample_49159,8.0514,8.5179,7.983,8.1841,0.2911
sample_49160,7.5989,8.3025,7.7719,7.8911,0.3666
sample_49161,8.814,9.3639,9.0535,9.0771,0.2757
sample_49162,7.4146,7.9486,7.4823,7.6152,0.2907
sample_49163,7.8066,8.5422,7.8777,8.0755,0.4057
sample_49164,8.4281,8.7081,8.4336,8.5232,0.1601
sample_49165,8.5252,9.0214,8.7309,8.7591,0.2493
sample_49166,8.068,8.0591,7.8202,7.9824,0.1406
sample_49167,8.9562,9.4327,9.1235,9.1708,0.2417
sample_49168,9.4319,9.8189,9.4691,9.5733,0.2135
sample_49169,9.3536,9.7442,9.3303,9.476,0.2325
sample_49170,9.2103,9.8308,9.3487,9.4633,0.3257
sample_49171,7.8741,8.3522,7.9323,8.0529,0.2609
sample_49172,7.7804,8.3846,7.8635,8.0095,0.3275
sample_49173,7.7555,8.2198,7.7004,7.8919,0.2853
sample_49174,9.311,9.9529,9.5248,9.5963,0.3269
sample_49175,8.0323,8.2087,8.0018,8.0809,0.1117
sample_49176,8.1063,8.443,8.0316,8.1936,0.2192
sample_49177,8.8762,9.3302,8.959,9.0551,0.2418
sample_49178,8.6601,9.3343,8.8796,8.958,0.3439
sample_49179,8.8804,9.391,8.9202,9.0639,0.284
sample_49180,8.8972,9.4785,8.9211,9.099,0.3289
sample_49181,8.0707,8.5407,8.0427,8.218,0.2798
sample_49182,8.7771,9.3688,9.0554,9.0671,0.296
sample_49183,7.9724,8.3194,7.9069,8.0662,0.2217
sample_49184,7.7575,8.2109,7.7675,7.9119,0.2589
sample_49185,7.5936,7.9953,7.3446,7.6445,0.3283
sample_49186,8.8535,9.4995,9.1272,9.1601,0.3243
sample_49187,9.2204,9.734,9.3289,9.4278,0.2707
sample_49188,8.4218,8.8178,8.489,8.5762,0.2119
sample_49189,9.0606,9.5751,9.1911,9.2756,0.2675
sample_49190,7.7543,8.4974,7.9538,8.0685,0.3846
sample_49191,9.5212,9.9879,9.6169,9.7087,0.2465
sample_49192,7.7409,8.1725,7.7705,7.8946,0.2411
sample_49193,8.0824,8.4305,8.0379,8.1836,0.215
sample_49194,7.9323,8.2457,7.8305,8.0028,0.2164
sample_49195,9.0251,9.699,9.1455,9.2899,0.3594
sample_49196,8.1072,8.5058,7.9956,8.2029,0.2682
sample_49197,8.2861,8.5339,8.1593,8.3264,0.1905
sample_49198,8.6992,9.1211,8.7186,8.8463,0.2382
sample_49199,8.1863,8.5896,8.193,8.3229,0.2309
sample_49200,8.1095,8.4912,7.962,8.1876,0.2731
sample_49201,7.9364,8.3805,7.8439,8.0536,0.2869
sample_49202,7.7349,8.4713,7.7305,7.9789,0.4265
sample_49203,8.7704,8.9652,8.7107,8.8154,0.1331
sample_49204,8.5414,8.6958,8.3955,8.5442,0.1502
sample_49205,9.1749,9.7603,9.1586,9.3646,0.3428
sample_49206,8.7249,9.1699,8.8996,8.9315,0.2242
sample_49207,8.6159,8.7355,8.5959,8.6491,0.0755
sample_49208,8.8767,9.4146,9.0976,9.1296,0.2703
sample_49209,7.728,8.201,7.7741,7.9011,0.2608
sample_49210,8.7931,9.3167,8.9538,9.0212,0.2682
sample_49211,9.5625,9.8969,9.4869,9.6488,0.2182
sample_49212,8.1152,8.5318,8.0413,8.2294,0.2644
sample_49213,7.2591,8.032,7.3517,7.5476,0.422
sample_49214,8.5781,9.2071,8.8147,8.8667,0.3177
sample_49215,8.4256,8.7193,8.4434,8.5294,0.1646
sample_49216,7.2213,7.9589,7.3031,7.4944,0.4043
sample_49217,8.6355,8.9906,8.6483,8.7582,0.2014
sample_49218,8.0009,8.6176,7.992,8.2035,0.3586
sample_49219,8.5639,8.913,8.7191,8.732,0.1749
sample_49220,8.6497,8.8175,8.5896,8.6856,0.1181
sample_49221,8.2193,8.7692,8.3074,8.432,0.2953
sample_49222,8.9257,9.1335,8.867,8.9754,0.1401
sample_49223,7.9457,8.3195,7.7604,8.0085,0.2848
sample_49224,8.2302,8.396,8.038,8.2214,0.1792
sample_49225,8.3977,8.9734,8.52,8.6304,0.3033
sample_49226,8.4607,8.9217,8.4249,8.6024,0.2771
sample_49227,8.7202,9.0254,8.6394,8.795,0.2036
sample_49228,7.6702,8.2614,7.6533,7.8616,0.3463
sample_49229,8.4098,8.8118,8.4045,8.542,0.2337
sample_49230,8.4452,8.6872,8.2991,8.4772,0.196
sample_49231,9.0307,9.7617,9.1323,9.3082,0.396
sample_49232,7.2908,7.8502,7.2445,7.4618,0.3371
sample_49233,8.5801,9.2401,8.9544,8.9249,0.331
sample_49234,8.0186,8.4715,8.0659,8.1853,0.249
sample_49235,8.1072,8.3514,8.1232,8.1939,0.1366
sample_49236,7.9334,8.353,7.9807,8.089,0.2298
sample_49237,8.2968,8.8234,8.2961,8.4721,0.3043
sample_49238,9.2063,9.6228,9.2655,9.3649,0.2253
sample_49239,8.5938,9.0298,8.8023,8.8086,0.2181
sample_49240,8.329,8.8724,8.3025,8.5013,0.3217
sample_49241,8.9968,9.1905,8.8791,9.0221,0.1573
sample_49242,9.3563,9.8595,9.37,9.5286,0.2866
sample_49243,8.8623,9.1699,8.8097,8.9473,0.1946
sample_49244,8.3424,8.5644,8.3001,8.4023,0.1419
sample_49245,8.9532,9.3507,8.9151,9.073,0.2412
sample_49246,8.2592,8.9318,8.2657,8.4856,0.3865
sample_49247,9.0465,9.3909,9.0114,9.1496,0.2097
sample_49248,8.8354,9.3928,9.0226,9.0836,0.2836
sample_49249,8.517,8.682,8.3805,8.5265,0.151
sample_49250,8.8311,9.0168,8.6694,8.8391,0.1738
sample_49251,8.481,8.8062,8.5783,8.6218,0.1669
sample_49252,7.5222,8.1336,7.6367,7.7642,0.325
sample_49253,8.2261,8.6242,8.3177,8.3894,0.2085
sample_49254,9.5974,10.0593,9.5984,9.7517,0.2664
sample_49255,9.3742,9.9284,9.4005,9.5677,0.3127
sample_49256,8.2896,8.5282,8.149,8.3223,0.1917
sample_49257,8.6982,9.039,8.7224,8.8199,0.1902
sample_49258,9.0569,9.5375,9.1639,9.2528,0.2523
sample_49259,8.3652,8.4941,8.1458,8.335,0.1761
sample_49260,7.996,8.4915,7.9385,8.142,0.304
sample_49261,8.583,8.9262,8.6337,8.7143,0.1853
sample_49262,7.6841,8.2689,7.7778,7.9103,0.3141
sample_49263,9.2299,9.7294,9.3214,9.4269,0.266
sample_49264,9.285,9.5504,9.1933,9.3429,0.1855
sample_49265,8.1606,8.2911,7.9136,8.1218,0.1917
sample_49266,8.6012,9.1727,8.8084,8.8607,0.2893
sample_49267,8.1926,8.6251,8.2598,8.3592,0.2328
sample_49268,8.3386,8.4306,8.1432,8.3041,0.1468
sample_49269,9.3122,9.7618,9.3223,9.4655,0.2567
sample_49270,8.1238,8.5279,8.2338,8.2951,0.2089
sample_49271,8.7662,9.0554,8.6255,8.8157,0.2192
sample_49272,8.9752,9.5479,9.1706,9.2312,0.2911
sample_49273,8.3402,8.9318,8.3113,8.5278,0.3502
sample_49274,8.5481,8.8815,8.6378,8.6891,0.1726
sample_49275,8.5955,8.9624,8.4545,8.6708,0.2622
sample_49276,9.2022,9.8013,9.2149,9.4061,0.3423
sample_49277,8.5218,9.1143,8.5711,8.7357,0.3288
sample_49278,9.2834,9.7377,9.44,9.487,0.2308
sample_49279,9.393,9.7715,9.4719,9.5455,0.1997
sample_49280,9.4635,9.801,9.4552,9.5732,0.1973
sample_49281,9.2594,9.8006,9.3029,9.4543,0.3007
sample_49282,8.366,8.8558,8.1677,8.4632,0.3542
sample_49283,8.8243,9.4579,9.0287,9.1036,0.3234
sample_49284,7.8686,8.2375,7.6332,7.9131,0.3046
sample_49285,8.9325,9.1097,8.7214,8.9212,0.1944
sample_49286,8.5841,8.964,8.5581,8.702,0.2272
sample_49287,9.4827,9.953,9.6625,9.6994,0.2373
sample_49288,9.1739,9.2254,8.9387,9.1127,0.1529
sample_49289,7.9381,8.2788,7.8964,8.0377,0.2098
sample_49290,9.049,9.6732,9.2392,9.3205,0.3199
sample_49291,8.5038,8.8568,8.4997,8.6201,0.205
sample_49292,8.3017,8.4779,8.1953,8.325,0.1427
sample_49293,7.6062,8.2635,7.6841,7.8513,0.3591
sample_49294,8.9421,9.4469,9.0128,9.1339,0.2733
sample_49295,6.9901,7.6163,7.0432,7.2165,0.3472
sample_49296,8.9015,9.5252,9.1701,9.199,0.3129
sample_49297,8.493,8.8385,8.4477,8.5931,0.2137
sample_49298,7.5146,8.0617,7.4329,7.6697,0.3419
sample_49299,9.5473,10.0651,9.5687,9.727,0.293
sample_49300,9.0278,9.7354,9.1862,9.3165,0.3713
sample_49301,7.9476,8.3958,8.0148,8.1194,0.2417
sample_49302,7.7646,8.1358,7.8081,7.9029,0.2029
sample_49303,8.9061,9.4344,9.0905,9.1437,0.2681
sample_49304,8.1554,8.6641,8.0909,8.3035,0.314
sample_49305,9.404,9.9356,9.3353,9.5583,0.3285
sample_49306,8.7042,9.2014,8.8815,8.929,0.252
sample_49307,8.0547,8.484,8.0037,8.1808,0.2638
sample_49308,8.522,8.792,8.4862,8.6001,0.1672
sample_49309,7.6769,7.9698,7.5622,7.7363,0.2102
sample_49310,8.2333,8.4643,8.0388,8.2455,0.213
sample_49311,9.3694,9.7296,9.3162,9.4717,0.2249
sample_49312,8.3263,8.7719,8.331,8.4764,0.2559
sample_49313,8.0681,8.6608,8.0813,8.27,0.3385
sample_49314,7.9789,8.2556,7.8944,8.0429,0.1889
sample_49315,9.0162,9.5221,9.0843,9.2076,0.2745
sample_49316,8.6547,9.172,8.6657,8.8308,0.2955
sample_49317,7.4144,8.0205,7.3891,7.608,0.3574
sample_49318,7.8994,8.3318,7.9579,8.063,0.2346
sample_49319,7.2284,7.8481,7.406,7.4942,0.3191
sample_49320,8.6059,8.7277,8.4718,8.6018,0.128
sample_49321,8.4614,9.0507,8.5571,8.6897,0.3162
sample_49322,9.1861,9.6682,9.1602,9.3382,0.2861
sample_49323,6.5763,7.1883,6.7381,6.8342,0.3172
sample_49324,9.2688,9.7904,9.2897,9.4496,0.2953
sample_49325,8.4833,8.5651,8.2755,8.4413,0.1493
sample_49326,8.6201,8.8495,8.5378,8.6691,0.1615
sample_49327,8.7468,9.139,8.8665,8.9174,0.201
sample_49328,8.9623,9.5418,9.0655,9.1899,0.3091
sample_49329,9.0838,9.6965,9.2046,9.3283,0.3246
sample_49330,9.2481,9.6293,9.2676,9.3816,0.2147
sample_49331,8.4721,8.7357,8.6111,8.6063,0.1319
sample_49332,8.7851,9.2592,8.9466,8.997,0.241
sample_49333,8.2217,8.5173,8.1828,8.3073,0.1829
sample_49334,9.0209,9.5385,9.1703,9.2432,0.2664
sample_49335,8.1196,8.4772,7.8961,8.1643,0.2931
sample_49336,9.3199,9.8379,9.3497,9.5025,0.2908
sample_49337,9.0308,9.6714,9.1591,9.2871,0.339
sample_49338,9.5856,10.0418,9.5509,9.7261,0.2739
sample_49339,8.5999,9.2679,8.9967,8.9548,0.336
sample_49340,9.0118,9.5155,9.1778,9.235,0.2567
sample_49341,8.9883,9.0903,8.7814,8.9533,0.1574
sample_49342,9.1564,9.5529,9.1148,9.2747,0.2418
sample_49343,8.3532,8.7361,8.2423,8.4438,0.2591
sample_49344,8.6993,9.1197,8.9093,8.9095,0.2102
sample_49345,8.126,8.4309,8.1687,8.2419,0.1651
sample_49346,7.1631,7.8174,7.2121,7.3975,0.3645
sample_49347,9.1837,9.7506,9.331,9.4218,0.2942
sample_49348,8.392,8.8756,8.4354,8.5677,0.2675
sample_49349,8.5707,8.6317,8.2782,8.4935,0.189
sample_49350,9.1547,9.6912,9.1067,9.3175,0.3245
sample_49351,7.9468,8.176,7.8613,7.9947,0.1627
sample_49352,8.1009,8.4349,8.018,8.1846,0.2207
sample_49353,8.3839,8.7303,8.3406,8.4849,0.2136
sample_49354,8.4088,8.6016,8.3531,8.4545,0.1304
sample_49355,8.0801,8.4168,7.9256,8.1408,0.2511
sample_49356,9.2409,9.6117,9.2812,9.378,0.2034
sample_49357,8.1541,8.6174,8.1807,8.3174,0.2602
sample_49358,8.135,8.3209,7.9705,8.1421,0.1753
sample_49359,9.0897,9.5989,9.2998,9.3295,0.2559
sample_49360,9.1076,9.6476,9.1966,9.3173,0.2895
sample_49361,9.1676,9.0965,8.795,9.0197,0.1978
sample_49362,8.7962,9.547,9.0186,9.1206,0.3856
sample_49363,9.1887,9.8142,9.3017,9.4349,0.3333
sample_49364,7.9116,8.6662,8.0651,8.2143,0.3988
sample_49365,7.8976,8.1965,7.9567,8.0169,0.1583
sample_49366,7.8185,8.3374,7.8196,7.9918,0.2992
sample_49367,9.2613,9.7143,9.3376,9.4378,0.2425
sample_49368,8.3348,8.5358,8.3442,8.4049,0.1134
sample_49369,8.0031,8.2611,7.762,8.0087,0.2496
sample_49370,7.8693,8.3436,7.8317,8.0149,0.2853
sample_49371,8.5703,8.7868,8.5889,8.6486,0.12
sample_49372,8.9942,9.5395,9.1158,9.2165,0.2862
sample_49373,8.1227,8.5614,7.8253,8.1698,0.3703
sample_49374,8.6116,9.001,8.6557,8.7561,0.2132
sample_49375,8.6006,8.7178,8.3457,8.5547,0.1903
sample_49376,9.1943,9.6769,9.3117,9.3943,0.2517
sample_49377,9.2649,9.8502,9.3499,9.4883,0.3163
sample_49378,7.8625,8.5417,7.9793,8.1278,0.3631
sample_49379,9.2023,9.8149,9.3035,9.4403,0.3284
sample_49380,8.3807,8.7961,8.3243,8.5004,0.2576
sample_49381,8.69,9.372,8.9464,9.0028,0.3445
sample_49382,8.9384,9.2764,9.0194,9.0781,0.1764
sample_49383,7.3375,8.339,7.5625,7.7464,0.5254
sample_49384,8.9658,9.5179,9.0604,9.1814,0.2953
sample_49385,7.6217,8.1226,7.508,7.7508,0.327
sample_49386,9.29,9.7728,9.4068,9.4899,0.2519
sample_49387,9.4383,9.8903,9.4452,9.5913,0.259
sample_49388,9.3015,9.8323,9.3245,9.4861,0.3
sample_49389,7.8952,8.5538,7.9606,8.1365,0.3628
sample_49390,8.4176,8.9114,8.5851,8.638,0.2511
sample_49391,8.7387,8.9502,8.4744,8.7211,0.2384
sample_49392,7.8246,8.3243,7.9949,8.0479,0.254
sample_49393,8.8016,8.8999,8.5431,8.7482,0.1843
sample_49394,9.0869,9.5458,9.1212,9.2513,0.2556
sample_49395,9.4524,9.8697,9.5027,9.6083,0.2278
sample_49396,9.0152,9.3005,8.9251,9.0803,0.196
sample_49397,8.9771,9.6419,9.0932,9.2374,0.3551
sample_49398,7.9492,8.6239,8.0024,8.1918,0.3751
sample_49399,8.1072,8.6298,8.1137,8.2836,0.2998
sample_49400,8.8551,9.2353,8.742,8.9441,0.2584
sample_49401,7.5731,8.3478,7.7074,7.8761,0.414
sample_49402,8.6634,8.7593,8.3608,8.5945,0.208
sample_49403,8.3991,8.7646,8.3002,8.488,0.2446
sample_49404,9.0973,9.5281,9.1998,9.2751,0.2251
sample_49405,8.1037,8.6652,8.3106,8.3598,0.284
sample_49406,8.8332,9.4498,9.0908,9.1246,0.3097
sample_49407,8.69,8.9758,8.5849,8.7502,0.2023
sample_49408,8.4448,8.84,8.3336,8.5395,0.2662
sample_49409,8.2106,8.5028,8.1858,8.2997,0.1763
sample_49410,8.1955,8.7442,8.3294,8.4231,0.2861
sample_49411,8.0567,8.5978,8.1559,8.2701,0.2881
sample_49412,8.8652,9.2765,8.7602,8.9673,0.2729
sample_49413,8.8365,9.2761,8.8567,8.9898,0.2481
sample_49414,9.505,10.0114,9.6363,9.7176,0.2628
sample_49415,8.6057,9.1579,8.759,8.8408,0.2851
sample_49416,8.9732,9.5559,8.9621,9.1637,0.3397
sample_49417,7.5814,8.0847,7.6481,7.7714,0.2734
sample_49418,8.5721,9.1124,8.708,8.7975,0.281
sample_49419,7.5078,8.0844,7.5212,7.7045,0.3291
sample_49420,7.9045,8.2426,7.6039,7.917,0.3195
sample_49421,9.0383,9.1066,8.8707,9.0052,0.1214
sample_49422,9.1784,9.801,9.2105,9.3966,0.3506
sample_49423,8.6351,8.6556,8.4666,8.5858,0.1037
sample_49424,8.7403,9.3793,8.8692,8.9963,0.3379
sample_49425,8.561,9.2852,8.8984,8.9149,0.3624
sample_49426,8.9261,9.5911,9.173,9.2301,0.3361
sample_49427,7.8462,8.3423,7.7867,7.9917,0.305
sample_49428,8.5249,8.7889,8.2858,8.5332,0.2516
sample_49429,8.7337,8.7813,8.6301,8.715,0.0773
sample_49430,8.3458,8.7235,8.2426,8.4373,0.2531
sample_49431,8.0263,8.6181,8.0355,8.2266,0.3391
sample_49432,9.0829,9.5349,9.1006,9.2395,0.256
sample_49433,9.1864,9.4836,9.195,9.2883,0.1692
sample_49434,8.5404,8.6322,8.2402,8.471,0.205
sample_49435,7.6827,8.1871,7.7618,7.8772,0.2713
sample_49436,9.0923,9.3937,9.0496,9.1786,0.1876
sample_49437,9.3405,9.8619,9.3855,9.5293,0.289
sample_49438,8.1198,8.3623,8.1813,8.2211,0.1261
sample_49439,8.9131,9.2102,8.9363,9.0199,0.1652
sample_49440,8.9863,9.6282,9.1791,9.2645,0.3294
